Title,Sales,,,,,
A Tale of Two Cities,200000000,,,,,
The Little Prince (Le Petit Prince),150000000,,,,,
Harry Potter and the Philosopher's Stone,120000000,,,,,
The Hobbit,100000000,,,,,
And Then There Were None,100000000,,,,,
Dream of the Red Chamber,100000000,,,,,
Harry Potter,500000000,,,,,
Goosebumps,480000000,,,,,
Perry Mason,300000000,,,,,
Berenstain Bears,260000000,,,,,
Choose Your Own Adventure,250000000,,,,,
Sweet Valley High,250000000,,,,,
Roget's Thesaurus,40000000,,,,,
できるシリーズ (Dekiru Series),40000000,,,,,
Better Homes and Gardens New Cook Book,38000000,,,,,
수학의 정석 (The Art of Mathematics),37000000,,,,,
Oxford Advanced Learner's Dictionary,30000000,,,,,
Alcoholics Anonymous Big Book,30000000,,,,,
,,,,,,
,,,,,,
,,,,,,
